epoch,accuracy,loss,val_accuracy,val_loss
0,0.6397273540496826,0.7322490811347961,0.8046875,0.4902172386646271
1,0.8919181823730469,0.28570643067359924,0.6640625,2.1924235820770264
2,0.9386562705039978,0.21027527749538422,0.859375,1.8086260557174683
3,0.9561830759048462,0.1383344680070877,0.8359375,1.118085503578186
4,0.9542356133460999,0.1398920714855194,0.7578125,3.3106324672698975
5,0.9561830759048462,0.1330157071352005,0.84375,1.7906172275543213
6,0.9853943586349487,0.04342607036232948,0.84375,2.2284860610961914
7,0.9873417615890503,0.04077272489666939,0.82421875,2.731813430786133
8,0.9776046872138977,0.07880281656980515,0.80859375,3.3541221618652344
9,0.9980525970458984,0.004068862646818161,0.8125,3.855340003967285
10,1.0,0.00019308633636683226,0.8203125,4.342306137084961
11,1.0,0.00017946423031389713,0.80859375,5.3303728103637695
12,0.9834469556808472,0.19474151730537415,0.796875,4.2810516357421875
13,0.9795520901679993,0.11384106427431107,0.796875,2.4104130268096924
14,0.9980525970458984,0.006343877408653498,0.8046875,4.323753833770752
